ID,Name,Root,Meaning,example,session Id
1,egoist,ego,me first,,1
2,egotist,ego,the height of conceit,,1
3,egocentric,ego,extreme born of egoist,,1
4,egomaniac,ego,mobid obsession,,1
5,altruist,alter,let me help you,,1
6,altruism,alter,philosophy practiced by altruists,,1
7,to alternate,alter,skip one-take other,,1
8,to alter,alter,other,"to alter plans , to make other plans",1
9,altercation,alter,verbal dispute,,1
10,alteration,alter,a change,,1
11,alternative,alter,other choice,,1
12,alter ego,alter,your other self,,1
13,introvert,verto,leave me alone,,2
14,extrovert,verto,let's do it together,,2
15,ambivert,verto,neither extreme,,2
16,ambidextrous,verto,skilful,,2
17,dexterous,verto,skilful,,2
18,dexterity,verto,skill,,2
19,misanthrope,miscin,people are no damn good,,2
20,misogynist,miscin,hate woman,,2
21,misogamist,miscin,hate marraiges,,2
22,anthropolgy,anthropos,study of human race,,2
23,philanthropist,anthropos,loves mankind,,2
24,polygyny,,has band with more than one wife,,2
25,monogamy,gamy,one marriage,,2
26,bigamy,gamy,two marriage,,2
27,pologamy,gamy,many marriage,,2
28,polyandry,,woman has one of more husband,,2
29,ascetic,asketes,devote to lonely austere life,,2
30,gynaecologist,gyne,specialist treats female reproductive and sexual organs,,3
31,gynaecology,gyne,science of woman,,3
32,obstetrician,obstetrix,deal with child birth,,3
33,paediatrician,paidos,deal with treatment of children,,3
34,pedagogy,paidos,"leading of children to learning,development",,3
35,pedagogue,paidos,narrow minded,,3
36,demagogue,demos,a leader who misleads people,,3
37,dermatologist,derma,specialist who treats all skin diseases,,3
38,hypodermic,hypos,needle penetrates under the skin,,3
39,epidermis,derma,outermost layer of skin,,3
40,taxidermist,derma,"prepares,stuffs and mounts skins of animals",,3
41,pachyderm,derma,animal with thick skin,,3
42,dermatitis,derma,"generalname for any skin inflammation,irritation,infection",,3
43,opthalmologist,opthalmos,"disorders of vision, perscribe glasses, administer drugs,perform surgery",,3
44,optometrists,metron,they measure vision,,3
45,oculist,oculus,earlier title for this physician,,3
46,ocular,oculus,pertaining to the eye,,3
47,monocle,oculus,a lens for one eye,,3
48,binoculars,oculus,field glasses that increases range of two eyes,,3
49,inoculate,oculus,a puncture or hole made in skin through which serum is injected,,3
50,orthopaedist,orthos,"deal with bones and joints, treatment of skeletal deformities",,4
51,orthodontist,orthos,"straighting of teeth,braces",,4
52,odontos,orthos,tooth,,4
53,cardiologist,kardia,treats disorders of heart and circulatory system,,4
54,cargiogram,kardia,record of heart beats,,4
55,cardiograph,kardia,instrument for recording heartbeats,,4
56,cardiac,kardia,pertaining to heart,,4
57,neurologist,neuron,"treats disorders of brain,spinal cord and nervous system",,4
58,neuralgia,neuron,nerve pain,,4
59,neuritis,neuron,inflammation of nerves,,4
60,neurosis,neuron,"emotional disturbance, personality disorder",,4
61,neurotic,neuron,person suffering from neurosis,,4
62,psychosis,psyche,full-blown mental disorder or unbalance,,5
63,psychiatrist,psyche,treats personality disorders,,5
64,psychiologist,psyche,one who studies mind,,5
65,psychic,psyche,"extrasensory, sixth-sense, mysterious aptitudes",,5
66,pyschopathic,psyche,"severe mental or emotional disorder, performs criminal activities without axiety or guilt",,5
67,sociopath,psyche,absence of social conscience,,5
68,psychosomatic,psyche,describing the interaction of mind and body,,5
69,psychoanalysis,psyche,psychological treatment based on sigmund freud's techniques,,5
70,psychogenic,psyche,originating in mind or emotions,,5
71,psychotherapy,psyche,treatment of psychogenic or emotional or personality disorder,,5
72,psychotherapist,psyche,practitioner of psychotherapy,,5
73,orthodonist,odontos,speciality of tooth straightening,,6
74,periodontist,peri,gum specialist,,6
75,endodontist,edon,"pulp of tooth, root-canal therapy",,6
76,exodontist,exo,tooth extraction,,6
77,thermometer,therme,instrument to measure heat,,6
78,barometer,baros,instrument to measure atmospheric pressure,,6
79,sphygmomanometer,sphygmos,device for measuring blood pressure,,6
80,osteopath,osteon,curing diseases by massage,,6
81,osteopathy,osteon,speciality arising from the theory that pressure of bones on nerves and blood vessels cause disease,,6
82,osteopathic,osteon,"practitioner , is not a bone specialist",,6
83,chiropractor,cheir,"joints and articulation, spinal column -they heal with their hands",,6
84,chirography,cheir,handwriting,,6
85,chiromancy,cheir,palm reading,,6
86,chiropodist,cheir,treats minor foot aliments,,6
87,octopus,pous,eight-armed sea creature,,6
88,platypus,platys,"water mammals with duck's bill,webbed-feet and a beaver like tail",,6
89,podium,ium,speaker's platform,,6
90,tripod,tri,a 3 legged stand for a camera or device,,6
91,podiatrist,podos,another name for chiropodist,,6
92,calligraphy,graphein,beautiful writing,,6
93,cacography,kako,"bad, scrawly hand writing",,6
94,callipygian,pyge,snapely  or attractive rear end,,6
95,photograph,photos,written by light,,6
96,telegraph,tele,distance writer,,6
97,phonograph,phone,sound writer,,6
98,biography,bios,written about someone's life,,6
99,senile,senex,signs of physical or mental detioriation,,6
100,senscent,escent,"aging, growing old",,6
101,adolescent,escent,growing into an adult,,6
102,convalescent,escent,growing healthy again,,6
103,obsolescent,escent,growing or becoming obsolete,,6
104,senior,senex,older,,6
